ID,Phase,Workstream,Task,Key Files / Scope,Effort,Risk,Depends On,Acceptance Criteria,Status,Notes
P0-01,Phase 0 — Safety Net,Contract Tests,"Build API contract snapshot harness for /api/v1 (request → exact JSON shape + HTTP status), replayable against any backend",restx_api/* (46 namespaces); new test/contract/,L,Low,—,Harness records and diffs full response envelope incl. status/message/data for every namespace; runs in CI,Not Started,Foundation for every later gate
P0-02,Phase 0 — Safety Net,Contract Tests,"Snapshot validation-error shapes, CSV/file responses, and webhook CSRF-exemption behavior","restx_api/*schema.py; blueprints/chartink.py, strategy.py, flow.py, tv_json.py, gc_json.py; orders/historify CSV exports",M,Low,P0-01,"400 error bodies, CSV headers/content-type, and webhook 200-without-CSRF all snapshotted",Not Started,FastAPI default {detail:[...]} must never leak (R2)
P0-03,Phase 0 — Safety Net,Contract Tests,Build per-endpoint apikey-source matrix (body vs X-API-KEY header vs query param) and assert in tests,"restx_api/telegram_bot.py, whatsapp_bot.py (header+query); all core endpoints (body-only via Marshmallow required)",S,Med,P0-01,Matrix doc + tests proving body-only endpoints reject header-only auth and bot endpoints accept header/query,Not Started,§1a claim 7; do NOT 'fix' asymmetry during port (R15)
P0-04,Phase 0 — Safety Net,Contract Tests,"Auth/session/CSRF behavior tests: login, TOTP, /auth/csrf-token, cookie flags, session expiry, force_logout",blueprints/auth.py; utils/session.py; app.py:189-232,M,Med,—,"Cookie names/flags (HttpOnly/SameSite/Secure/__Secure- prefix), CSRF accept/reject, expiry redirect all asserted",Not Started,Session semantics are product logic (§1a claim 4)
P0-05,Phase 0 — Safety Net,Contract Tests,"Socket.IO event tests: event names, payload shapes, and long-polling transport handshake",subscribers/socketio_subscriber.py; frontend useSocket.ts event list; transports:['polling'],M,Med,—,All ~20 event names + payloads asserted; polling-only client connects and receives events,Not Started,Frontend pins polling (§1a); R13
P0-06,Phase 0 — Safety Net,Contract Tests,Order-lifecycle contract tests in sandbox mode (place → fill → squareoff → T+1 settlement),sandbox/*; services/sandbox_service.py; restx_api order endpoints,M,Med,P0-01,Full lifecycle replayable in analyzer mode with asserted envelopes and emitted events,Not Started,Protects the financially critical path (R7)
P0-07,Phase 0 — Safety Net,Startup Baseline,"Baseline current startup: enumerate every component import-time app.py starts today (DBs, caches, schedulers, bots, analyzer engine, EventBus executor, httpx, ws proxy, ngrok, db_ready event + 30s before_request gate). Do NOT codify import-time side effects as the desired end state — Phase 1 removes them. Re-use this baseline to assert lifecycle-owner PARITY after P1-10.","app.py:426-440 (db_ready gate), 660, 812-1011; websocket_proxy/app_integration.py",M,Med,—,Baseline component checklist recorded as data; identical checklist re-run after P1-10 proves lifecycle-owner starts the same set in the same order incl. db_ready gate,Not Started,Resolves P0-07/P1-10 conflict (R12); see §3.20
P0-08,Phase 0 — Safety Net,Baselines,"Performance + FD baselines: 24h soak; order p50/p99, quote latency, option-chain build, SocketIO delivery, FD/memory growth",docs/benchmarks/; log/; /proc FD monitoring,M,Low,—,Baseline numbers recorded in docs/benchmarks for later phase gates,Not Started,Gate metric for every later phase
P0-09,Phase 0 — Safety Net,CI Guard,CI coupling-count gate with EXPLICIT scope. INCLUDE dirs: services/ database/ broker/ utils/ sandbox/ websocket_proxy/ mcp/ events/. EXCLUDE: blueprints/ restx_api/ subscribers/ app.py extensions.py csp.py and any test_*/tests/ examples/. Match 'from flask import'|'import flask' and 'from extensions import socketio'|'extensions.socketio'. Fail when count rises above recorded baseline; Phase 1 drives baseline to 0.,new scripts/check_coupling.py + .github/workflows/ci.yml,S,Low,—,"Verified engine-scope baseline = 23 flask importers / 43 socketio importers (the earlier '44' counted app.py, which is excluded as shell). Gate fails on any increase; target 0 after P1-13",Not Started,Point-5 fix: scope defined so naive scan noise (app.py/csp.py/extensions.py/tests) is excluded
P0-10,Phase 0 — Safety Net,Logging Parity,"Logging/traceback baseline tests: errors.jsonl JSON schema, logger.exception traceback capture, SensitiveDataFilter redaction incl. apikey-in-query-param in access logs",utils/logging.py; log/errors.jsonl,M,Med,—,Schema asserted field-by-field; ?apikey=… never appears un-redacted in any handler output,Not Started,§3.9 — uvicorn access logs bypass central handlers by default (redaction risk)
P0-11,Phase 0 — Safety Net,Webhook Security,"Webhook security behavior tests: UUID4-in-path auth (strategy/chartink 404/400 shapes), flow webhook_token/secret/auth_type variants, intraday time-window logic, rate limits, CSRF exemption, IP-ban precedence",blueprints/strategy.py:869; chartink.py; flow.py:88-91; tv_json.py; gc_json.py,M,High,P0-01,Every webhook auth model + error shape + middleware-order property asserted,Not Started,§3.16 — webhook URLs are credentials
P0-12,Phase 0 — Safety Net,Login State Machine,"Login flow state-machine tests: password→TOTP park/consume/timeout, session['user'] vs session['logged_in'] semantics, _try_resume_broker_session (resume vs fresh broker login), expiry → revoke_user_tokens + session.clear, /setup routing",blueprints/auth.py:253-352; utils/auth_utils.py:352,L,High,P0-04,Every state transition asserted incl. resume path (login_type='resume') and TOTP security gate,Not Started,§3.19 — trickiest stateful flow; gates P1-09 and P4-01
P0-13,Phase 0 — Safety Net,Smart Master Contract,"Smart-download decision matrix tests: never-downloaded, broker-change invalidation, today-after-cutoff skip, before-cutoff/previous-day fresh, 08:00 IST vs 00:00 UTC cutoffs, naive-timestamp normalization",utils/auth_utils.py:80-120; database/master_contract_status_db.py,M,Med,—,Full decision matrix asserted incl. timezone boundary cases; status transitions (downloading/error/success) covered,Not Started,"§3.19 — pure logic, testable today"
P1-01,Phase 1 — Hardening (on Flask),Context Abstraction,"Build request-context abstraction on contextvars: user, apikey, client IP, broker timing, latency, session metadata",new utils/request_context.py,M,Med,P0-09,Context readable/writable identically under Flask today; unit tests,Not Started,Foundation for P1-02..P1-06
P1-02,Phase 1 — Hardening (on Flask),Context Abstraction,Replace flask.g broker-timing in httpx client with ContextVar,utils/httpx_client.py:55,S,Low,P1-01,No flask import; latency monitoring output unchanged,Not Started,—
P1-03,Phase 1 — Hardening (on Flask),Context Abstraction,Replace Flask request-context reads in logging/latency/IP helpers with ContextVar,utils/logging.py:314-324; utils/latency_monitor.py; utils/ip_helper.py,M,Med,P1-01,errors.jsonl keeps method/path/IP fields with identical JSON schema,Not Started,Log format must not change
P1-04,Phase 1 — Hardening (on Flask),Context Abstraction,Remove conditional Flask import from auth_db; source request context from ContextVar,database/auth_db.py,S,Low,P1-01,No flask import in database/,Not Started,—
P1-05,Phase 1 — Hardening (on Flask),Notifier Abstraction,Build notifier interface: modules publish domain events; single subscriber owns socketio.emit,new utils/notifier.py (or extend utils/event_bus.py); subscribers/,M,Med,P0-05,Events delivered with identical names/payloads via one emit owner; unit tests,Not Started,Collapses 44 emit sites to 1 (§1a claim 3)
P1-06,Phase 1 — Hardening (on Flask),Notifier Abstraction,Rewire all 33 broker master_contract_db.py modules to notifier (drop direct extensions.socketio import),broker/*/database/master_contract_db.py (33 files),L,Med,P1-05,Zero socketio imports in broker/; master_contract_download + cache_loaded events identical in UI,Not Started,Mechanical single pattern × 33
P1-07,Phase 1 — Hardening (on Flask),Notifier Abstraction,"Rewire services + utils emit sites to notifier (orderstatus, openposition, order_router, historify, telegram_bot, whatsapp_bot, api_analyzer, master_contract_cache_hook)",services/orderstatus_service.py:9 et al; utils/api_analyzer.py; database/master_contract_cache_hook.py:8,M,Med,P1-05,Zero extensions.socketio imports outside subscribers/ + blueprints/; P0-05 tests green,Not Started,—
P1-08,Phase 1 — Hardening (on Flask),Broker Decoupling,Remove flask.session from 11 broker files; pass auth/user via params or context,"broker/pocketful/api/order_api.py:3 + funds.py; wisdom, fivepaisaxts, rmoney, jainamxts, ibulls×2, indmoney, iifl, compositedge",M,Med,P1-01,Broker modules importable with no web framework installed; broker API tests green,Not Started,§1a claim 1; brokers were claimed agnostic in v1 — they are not
P1-09,Phase 1 — Hardening (on Flask),Session Seam,Extract session interface behind check_session_validity (43 blueprint call sites) and handle_auth_success session writes,utils/session.py:6; utils/auth_utils.py:352,M,High,P1-01,Decorator semantics unchanged on Flask; session reads/writes go through seam; P0-04 green,Not Started,Highest-touch hardening item
P1-10,Phase 1 — Hardening (on Flask),Lifecycle Owner,"Extract single startup/shutdown registry from app.py import-time side effects (DB init, cache restore, schedulers, bots, analyzer engine, EventBus, httpx, ws proxy, ngrok)",app.py:812-1011; new core/lifecycle.py,L,High,P0-07,Flask boots via lifecycle owner; P0-07 startup checklist green; no import-time side effects outside owner,Not Started,Becomes FastAPI lifespan body (R12)
P1-11,Phase 1 — Hardening (on Flask),Dead Code,Disposition all 44 render_template calls across 23 blueprint files (delete / convert to JSON / redirect),"blueprints/* (23 files incl. sandbox.py:86,778; playground.py:287; pnltracker, latency, traffic, dashboard, orders…)",M,Low,—,Zero render_template calls remain; each disposition recorded; no template-less 500s,Not Started,§1a claim 6
P1-12,Phase 1 — Hardening (on Flask),Misc Decoupling,Remove Flask imports from alert services and plugin loader,services/telegram_alert_service.py; services/whatsapp_alert_service.py; utils/plugin_loader.py,S,Low,P1-01,No flask imports; behavior unchanged,Not Started,—
P1-13,Phase 1 — Hardening (on Flask),Gate,GATE: full Phase 0 suite byte-identical on hardened Flask; coupling counts at zero outside shells,all above,S,High,P1-01..P1-12,Contract snapshots diff-clean; CI grep gate floor lowered to 0; FD soak parity,Not Started,No FastAPI code before this passes
P2-01,Phase 2 — Parallel FastAPI Shell,Dependencies,Add fastapi dependency (absent today) with pins compatible with starlette==1.0.1/pydantic==2.12.5; pin slowapi + CSRF lib,pyproject.toml; requirements.txt; requirements-nginx.txt; uv.lock,S,Med,P1-13,uv sync clean; pin-compat matrix documented,Not Started,§1a claim 5
P2-02,Phase 2 — Parallel FastAPI Shell,App Shell,ASGI entrypoint: FastAPI app + lifespan calling lifecycle owner,new asgi.py / app factory,M,Med,"P2-01,P1-10",App boots; P0-07 checklist green under ASGI,Not Started,—
P2-03,Phase 2 — Parallel FastAPI Shell,Middleware,Port IP-ban security middleware to ASGI (outermost; 403 before app),utils/security_middleware.py → ASGI,M,High,P2-02,Banned IP gets 403 without touching routes; ordering test,Not Started,Order: ban → traffic → context → session → CSRF → rate → CSP/CORS → handlers
P2-04,Phase 2 — Parallel FastAPI Shell,Middleware,"Port traffic-logger middleware to ASGI (timing, status capture, skip-paths, logs_session cleanup)",utils/traffic_logger.py → ASGI,M,Med,P2-03,Traffic rows identical schema; skip-paths honored; no session leak,Not Started,—
P2-05,Phase 2 — Parallel FastAPI Shell,Middleware,Request-context ASGI middleware populating Phase 1 ContextVars,utils/request_context.py,S,Med,"P2-02,P1-01",errors.jsonl request fields populated under ASGI,Not Started,—
P2-06,Phase 2 — Parallel FastAPI Shell,Middleware,"Session middleware with cookie parity (name, flags, APP_KEY signing) + session seam re-target",Starlette SessionMiddleware; utils/session.py seam,M,High,"P2-05,P1-09",P0-04 cookie/expiry tests green under ASGI; decide+document re-login-on-upgrade,Not Started,R4
P2-07,Phase 2 — Parallel FastAPI Shell,Middleware,"CSRF dependency + /auth/csrf-token endpoint parity; exemption list (webhooks, OAuth, API v1)",starlette-csrf or custom double-submit,M,High,P2-06,P0-04 CSRF accept/reject matrix green; React client works unmodified,Not Started,R3 — security review required
P2-08,Phase 2 — Parallel FastAPI Shell,Middleware,Rate limiting via slowapi with per-endpoint limits + exact 429 envelope,limiter.py → slowapi; env-var limits,M,Med,P2-02,429 body/retry_after identical; moving-window semantics validated,Not Started,—
P2-09,Phase 2 — Parallel FastAPI Shell,Middleware,CORS + CSP/security-headers middleware from existing env config,"cors.py, csp.py → ASGI",S,Low,P2-02,Header parity incl. OAuth-consent CSP override,Not Started,—
P2-10,Phase 2 — Parallel FastAPI Shell,Error Handling,Custom exception handlers: envelope parity for 400/403/404/429/500 + RequestValidationError → legacy shape,FastAPI exception_handlers,M,High,P2-02,P0-02 error-shape snapshots green; no {detail:[...]} leaks,Not Started,R2
P2-11,Phase 2 — Parallel FastAPI Shell,Realtime,Mount python-socketio ASGIApp; verify long-polling transport with React client; wire notifier subscriber,extensions.py → ASGI socketio; subscribers/,L,High,"P2-02,P1-05",P0-05 event tests green incl. polling-only client; ping/pong timeouts tuned,Not Started,R13
P2-12,Phase 2 — Parallel FastAPI Shell,Static/SPA,"Port React SPA serving: hashed assets (1y immutable), index no-cache, br/gz Accept-Encoding negotiation, SPA fallback, images/sounds/docs",blueprints/react_app.py → StaticFiles + custom routes,M,Med,P2-02,Byte-identical headers/encoding behavior; deep-link routes serve index.html,Not Started,StaticFiles lacks br/gz negotiation — custom route
P2-13,Phase 2 — Parallel FastAPI Shell,Auth,API-key auth dependency (verify_api_key/get_auth_token_broker) honoring per-endpoint apikey-source matrix,database/auth_db.py; new deps module,S,High,"P2-02,P0-03",403 invalid-key envelope identical; matrix enforced,Not Started,—
P2-14,Phase 2 — Parallel FastAPI Shell,Pilot,"Migrate first read-only namespaces (quotes, funds) as def routes calling unchanged sync services","restx_api/quotes.py, funds.py → routers",M,Med,"P2-08,P2-10,P2-13",P0-01 snapshots for these namespaces green under FastAPI,Not Started,Proves the full stack end-to-end
P2-15,Phase 2 — Parallel FastAPI Shell,Dev UX,"Dev runner parity: uv run app.py launches uvicorn with same startup banner, FLASK_DEBUG→reload, FLASK_HOST_IP/FLASK_PORT aliases, debug+non-loopback refusal guard",app.py:905-1011 bootstrap; .sample.env unchanged,S,Low,P2-02,uv run app.py works on Win/Mac/Linux with identical operator experience; .env untouched,Not Started,§3.15 — users never edit .env or learn new commands
P2-16,Phase 2 — Parallel FastAPI Shell,Logging,"ASGI logging wiring: route uvicorn.access/uvicorn.error through central handlers (log_config=None/propagation), attach SensitiveDataFilter, retire WerkzeugErrorFilter + werkzeug logger wiring, add uvicorn noise filters, ContextVar request fields in errors.jsonl","utils/logging.py:75,113,424-436; uvicorn config",M,High,"P2-02,P1-03","P0-10 logging suite green under ASGI: schema identical, redaction holds in access logs, tracebacks captured",Not Started,§3.9 — redaction in access logs is a security property
P3-01,Phase 3 — API Migration,Market Data,"Migrate market-data namespaces: depth, history, intervals, symbols, search, expiry, multiquotes (+ Pydantic models)",restx_api/* market-data files,L,Med,P2-14,Per-namespace contract snapshots green,Not Started,Wave 1
P3-02,Phase 3 — API Migration,Account,"Migrate account namespaces: orderbook, tradebook, positionbook, holdings, margin/funds extensions",restx_api/* account files,M,Med,P3-01,Snapshots green,Not Started,Wave 2
P3-03,Phase 3 — API Migration,Analyzer/Utility,"Migrate analyzer, ping, validation, instrument/master-contract status namespaces",restx_api/analyzer.py et al,M,Low,P3-01,Snapshots green incl. analyzer_update emission,Not Started,Wave 3
P3-04,Phase 3 — API Migration,Bots,Migrate telegram_bot + whatsapp_bot namespaces preserving header/query apikey acceptance,"restx_api/telegram_bot.py, whatsapp_bot.py",M,Med,P3-02,P0-03 matrix green for header+query paths,Not Started,Only header-accepting endpoints
P3-05,Phase 3 — API Migration,Orders (CRITICAL),"Migrate order namespaces LAST: placeorder, placesmartorder, basketorder, splitorder, modifyorder, cancelorder, cancelallorder, closeposition, GTT ×4",restx_api/place_order.py et al,L,Critical,"P3-01..P3-04,P0-06",P0-06 lifecycle green; sandbox + live-smoke sign-off; latency within baseline,Not Started,R7 — most tested code in the program
P3-06,Phase 3 — API Migration,Schemas,Retire Marshmallow after last namespace; single Pydantic error-shape shim covers legacy messages,restx_api/*schema.py,M,Med,P3-05,Marshmallow removed from deps; error texts byte-compatible,Not Started,—
P4-01,Phase 4 — Blueprints + Realtime,Auth Flows,"Port auth, brlogin (30+ broker OAuth callbacks), core setup wizard — preserving the full login state machine: TOTP park/consume gate, user-vs-logged_in session semantics, broker-session resume, expiry revocation, smart master-contract trigger","blueprints/auth.py, brlogin.py, core.py; utils/auth_utils.py:352",L,High,"P2-06,P2-07,P0-12,P0-13",P0-12 state-machine suite green under FastAPI incl. resume (app-login-only second login); P0-13 smart-download matrix green; force_logout event works,Not Started,§3.19 — session-heaviest and trickiest blueprints; migrate with most care after orders
P4-02,Phase 4 — Blueprints + Realtime,Dashboard/Orders,"Port dashboard, orders (incl. CSV + pending-order approval emits), search, apikey, settings, leverage","blueprints/orders.py, dashboard.py, search.py, apikey.py, settings.py, leverage.py",M,Med,P4-01,Snapshots green; pending_order_created/updated events identical,Not Started,Action Center events
P4-03,Phase 4 — Blueprints + Realtime,Tools Suite,"Port 12 options-tools blueprints (ivchart, oitracker, vol_surface, gex, ivsmile, oiprofile, pnltracker, custom_straddle, straddle_chart, strategy_chart, …)",blueprints/* tools files,M,Low,P4-01,JSON parity; services untouched,Not Started,Thin shells over pure services
P4-04,Phase 4 — Blueprints + Realtime,Monitoring,"Port traffic, security, latency, health blueprints + their per-blueprint teardown semantics","blueprints/traffic.py, security.py, latency.py, health.py",M,Med,P2-04,Dashboards/JSON parity; sessions cleaned per request; unauthenticated /health endpoints preserved,Not Started,5-layer FD cleanup parity
P4-05,Phase 4 — Blueprints + Realtime,Sandbox/Analyzer,Port sandbox + analyzer blueprints (JSON + CSV exports; engine untouched),"blueprints/sandbox.py, analyzer.py",M,Med,P4-02,P0-06 green via new shell; analyzer_update flow identical,Not Started,Engine lifts unchanged (§3.10a)
P4-06,Phase 4 — Blueprints + Realtime,Flow + Python Host,Port flow (webhook CSRF-exempt) and python_strategy (21 routes; SSE log stream → StreamingResponse/sse-starlette; UploadFile),"blueprints/flow.py, python_strategy.py",L,Med,P4-01,Flow webhooks fire; SSE log streaming works in React; subprocess isolation untouched,Not Started,SSE not SocketIO for strategy logs
P4-07,Phase 4 — Blueprints + Realtime,Historify,Port historify blueprint (59 routes; file downloads; session-stored export paths → explicit temp-file handling),blueprints/historify.py,L,Med,P4-01,Snapshots green; DuckDB layer untouched; job progress events identical,Not Started,Largest single blueprint
P4-08,Phase 4 — Blueprints + Realtime,Webhooks/Integrations,"Port chartink, strategy, tv_json, gc_json webhooks (CSRF-exempt, body apikey, queue+APScheduler processing)","blueprints/chartink.py, strategy.py, tv_json.py, gc_json.py",M,High,P2-07,P0-02 webhook tests green; external-platform contract untouched,Not Started,TradingView/ChartInk cannot set headers
P4-09,Phase 4 — Blueprints + Realtime,Bots/MCP,"Port telegram, whatsapp config blueprints + mcp_http (JSON-RPC + SSE) + mcp_oauth (consent template, OAuth endpoints)","blueprints/telegram.py, whatsapp.py, mcp_http.py, mcp_oauth.py",L,Med,P4-01,MCP clients (claude.ai/chatgpt.com) connect; OAuth flow E2E; consent page renders,Not Started,mcpserver.py engine untouched
P4-10,Phase 4 — Blueprints + Realtime,Remaining Shells,"Port admin, system_permissions, broker_credentials, master_contract_status, playground (3 JSON routes), log/logging, platforms, websocket_example, strategy_portfolio",blueprints/* remainder,L,Med,P4-01,Route inventory: every Flask route mapped or explicitly retired; snapshots green,Not Started,Playground HTML route deleted (dead)
P4-11,Phase 4 — Blueprints + Realtime,Lifecycle,"Move scheduler inits (python_strategy, flow, historify), sandbox engines, bots, ws proxy, ngrok into lifespan via lifecycle owner; per-request DB session cleanup dependency (20 modules)",core/lifecycle.py; FastAPI dependencies,M,High,"P1-10,P2-02",P0-07 checklist green; teardown parity; no FD growth in soak,Not Started,Replaces teardown_appcontext
P4-12,Phase 4 — Blueprints + Realtime,Gate,GATE: Flask shell deletable — full UI E2E + all contract suites green on FastAPI only,whole app,M,High,"P4-01..P4-11,P4-13",React UI fully functional against FastAPI; Flask not imported at runtime,Not Started,—
P4-13,Phase 4 — Blueprints + Realtime,Webhook E2E,"Webhook end-to-end parity validation with real platform payloads (TradingView, ChartInk, GoCharting, Flow triggers) against the FastAPI shell","blueprints/strategy.py, chartink.py, flow.py, tv_json.py, gc_json.py ports",M,High,"P4-08,P0-11",P0-11 suite green under FastAPI; recorded real payloads replay identically incl. queue/scheduler order processing,Not Started,§3.16 — external platforms cannot adapt; zero tolerance
P5-01,Phase 5 — Runtime Cutover,Deploy Scripts,Swap start.sh gunicorn+eventlet → uvicorn (workers 1; timeout/graceful parity); remove eventlet install from Dockerfile,start.sh:332-341; Dockerfile,M,High,P4-12,Docker image boots; ports 5000+8765 unchanged; graceful shutdown reaps proxy subprocess,Not Started,Atomic step (R1)
P5-02,Phase 5 — Runtime Cutover,Installers,Update systemd ExecStart in install.sh/install-multi.sh; nginx configs unchanged; requirements-nginx.txt swap (drop gunicorn/eventlet),"install/install.sh, install-multi.sh, requirements-nginx.txt",M,Med,P5-01,Fresh Ubuntu install E2E; update.sh upgrade path unchanged for users (git pull + uv sync + restart),Not Started,User-facing commands identical
P5-03,Phase 5 — Runtime Cutover,Dependency Cleanup,"Remove Flask, Flask-* (8 pkgs), Werkzeug, eventlet, gunicorn, greenlet; simplify eventlet.patcher.original escape hatches to plain threading",pyproject.toml; requirements*.txt; telegram_bot_service.py; websocket_proxy/app_integration.py; 9 broker streaming files,M,Med,P5-01,uv sync clean; pip-audit clean; no eventlet references remain,Not Started,—
P5-04,Phase 5 — Runtime Cutover,Regression,"Full regression matrix: Windows/Mac/Linux dev, Docker, nginx+SSL multi-instance, sandbox lifecycle, market-data feed, all schedulers, bots, MCP",everything,L,Critical,P5-01..P5-03,All Phase 0 suites + manual checklist green on all platforms; 24h soak FD/memory ≤ baseline,Not Started,Go/no-go for release
P5-05,Phase 5 — Runtime Cutover,Docs,"Update CLAUDE.md (runtime constraints section), docs site deployment pages, .sample.env comments (semantics only — no var renames)",CLAUDE.md; docs/; .sample.env,S,Low,P5-04,Eventlet/asyncio constraint docs replaced by ASGI guidance,Not Started,—
P5-06,Phase 5 — Runtime Cutover,CI Pipeline,CI pipeline migration: extend backend-test with all Phase 0 suites as required checks; docker-build CMD swap with smoke test passing; re-baseline security-scan (bandit/pip-audit) on new deps; commit-dist and frontend-* jobs UNTOUCHED,"github/workflows/ci.yml (9 jobs), security.yml",M,Med,P5-03,All 9 jobs green; commit-dist diff shows zero workflow change; contract suites are required checks,Not Started,§3.17 — three jobs untouchable
P5-07,Phase 5 — Runtime Cutover,Operator Runbook,Publish operator migration & rollback runbook: upgrade = git pull + uv sync + restart (unchanged); document possible one-time re-login; symmetric rollback to pinned known-good tag; Docker tag rollback; ≥1 trading-day RC window,docs/migration/; release notes,S,Med,P5-04,Runbook published with pinned rollback tag; upgrade tested from previous release on Ubuntu + Docker; rollback rehearsed both directions,Not Started,§3.18 — no schema changes makes rollback symmetric
P6-01,Phase 6 — Optional Async,Async I/O,Add shared httpx.AsyncClient alongside sync client; convert option-chain/multiquote fan-out paths; benchmark vs baseline,utils/httpx_client.py; option_chain/multiquote services,L,Med,P5-04,Latency win demonstrated vs P0-08 baseline or change reverted,Not Started,Only keep wins
P6-02,Phase 6 — Optional Async,Realtime Upgrade,Evaluate enabling Socket.IO websocket transport upgrade (frontend currently polling-pinned) once threading-mode limitation gone,frontend useSocket.ts + ASGI socketio,M,Low,P5-04,Upgrade path tested or consciously deferred,Not Started,Post-parity improvement
P6-03,Phase 6 — Optional Async,Scaling,Investigate Redis message-queue backplane for python-socketio to unlock multi-worker,extensions/socketio manager,L,Med,P5-04,Decision doc; multi-worker explicitly supported or rejected,Not Started,R8 — not unlocked by migration alone
